investor_id,investor_name,estimated_net_worth,phone_number,email
CA_1058,Alexander Anderson,3678443,555-859-5506,alexander.anderson@example.com
CA_1081,Donna Lewis,11364231,555-854-2679,donna.lewis@example.com
CA_1114,Jerry Cooper,7834366,555-704-7912,jerry.cooper@example.com
CA_1172,Robert Brown,8287781,555-323-4811,robert.brown@example.com
CA_1301,Nicholas Cox,3780798,555-674-4257,nicholas.cox@example.com
CA_1307,Adam Cooper,30153498,555-325-8359,adam.cooper@example.com
CA_1354,Sarah Scott,2436124,555-877-3615,sarah.scott@example.com
CA_1415,Jose Diaz,24833825,555-384-3547,jose.diaz@example.com
CA_1532,Helen Baker,8859215,555-194-7224,helen.baker@example.com
CA_1540,Richard Rivera,25082477,555-718-5333,richard.rivera@example.com
CA_1544,Jennifer Collins,37985658,555-227-7201,jennifer.collins@example.com
CA_1659,David Peterson,21674861,555-949-6925,david.peterson@example.com
CA_1716,Laura Harris,49283015,555-171-1750,laura.harris@example.com
CA_1730,Jack Robinson,21420497,555-181-4814,jack.robinson@example.com
CA_1732,Richard Carter,20654492,555-564-6977,richard.carter@example.com
CA_1850,Charles Mitchell,25841813,555-314-5374,charles.mitchell@example.com
CA_2002,Jose Martinez,42878089,555-750-3803,jose.martinez@example.com
CA_2068,Jonathan Young,12965755,555-573-7216,jonathan.young@example.com
CA_2226,Paul Bailey,16738124,555-801-6313,paul.bailey@example.com
CA_2231,Linda Robinson,4154210,555-924-6168,linda.robinson@example.com
CA_2238,Lisa Wright,6441842,555-316-6155,lisa.wright@example.com
CA_2308,Helen Murphy,28550407,555-758-8517,helen.murphy@example.com
CA_2357,Christopher King,11370432,555-352-9830,christopher.king@example.com
CA_2425,Carol Howard,30751707,555-697-7543,carol.howard@example.com
CA_2494,George Lewis,11283286,555-621-9085,george.lewis@example.com
CA_2576,Barbara Miller,9358428,555-256-3621,barbara.miller@example.com
CA_2668,Tyler Diaz,42024332,555-165-7304,tyler.diaz@example.com
CA_2752,Edward Kim,33410296,555-641-5119,edward.kim@example.com
CA_2873,Stephen Johnson,47653046,555-838-2876,stephen.johnson@example.com
CA_2878,Tyler Morgan,19906335,555-887-6573,tyler.morgan@example.com
CA_2983,Joseph Nguyen,31176602,555-261-8433,joseph.nguyen@example.com
CA_3063,James King,35593765,555-880-3927,james.king@example.com
CA_3085,Nicholas Wilson,43963185,555-405-9317,nicholas.wilson@example.com
CA_3168,Brandon Sanchez,12256869,555-482-3646,brandon.sanchez@example.com
CA_3178,Sharon Ortiz,2038379,555-713-6310,sharon.ortiz@example.com
CA_3276,Gary Williams,9507315,555-471-6038,gary.williams@example.com
CA_3363,Donald Davis,18164618,555-999-2290,donald.davis@example.com
CA_3381,David Morales,6644773,555-878-9727,david.morales@example.com
CA_3391,Thomas Taylor,46275128,555-586-3705,thomas.taylor@example.com
CA_3460,Carol Ortiz,42707828,555-533-4470,carol.ortiz@example.com
CA_3461,Sharon Sanchez,49845195,555-419-7537,sharon.sanchez@example.com
CA_3478,Dennis Mitchell,31400398,555-629-8397,dennis.mitchell@example.com
CA_3490,Jessica Young,17079183,555-165-6539,jessica.young@example.com
CA_3494,John Ramos,39173044,555-335-4608,john.ramos@example.com
CA_3506,James Martinez,49502401,555-746-1964,james.martinez@example.com
CA_3582,Sandra Rodriguez,4108087,555-980-6413,sandra.rodriguez@example.com
CA_3597,Elizabeth Rogers,17972220,555-385-8953,elizabeth.rogers@example.com
CA_3639,Helen Cooper,10879297,555-840-8744,helen.cooper@example.com
CA_3682,Donna Stewart,29317331,555-294-2545,donna.stewart@example.com
CA_3794,Richard Parker,25776507,555-533-7735,richard.parker@example.com
CA_3808,Helen Miller,47188729,555-769-2612,helen.miller@example.com
CA_3836,Linda Phillips,24770212,555-919-2790,linda.phillips@example.com
CA_3900,Donna Harris,14764703,555-649-8350,donna.harris@example.com
CA_3923,Sarah Diaz,14313673,555-385-8579,sarah.diaz@example.com
CA_3928,Donna Martinez,31738000,555-927-2604,donna.martinez@example.com
CA_3940,Michael Cooper,2990382,555-195-4872,michael.cooper@example.com
CA_4085,Nancy Evans,34590824,555-592-4502,nancy.evans@example.com
CA_4131,Lisa Davis,13048610,555-488-1035,lisa.davis@example.com
CA_4189,Dorothy King,32535094,555-392-7930,dorothy.king@example.com
CA_4227,Jose Bailey,46417431,555-835-8973,jose.bailey@example.com
CA_4295,Karen Harris,21911725,555-322-1958,karen.harris@example.com
CA_4313,Justin Cooper,6090793,555-865-6138,justin.cooper@example.com
CA_4338,Linda Miller,41203494,555-588-9238,linda.miller@example.com
CA_4377,Ruth Lee,5817123,555-620-2312,ruth.lee@example.com
CA_4386,Lisa Rodriguez,41932130,555-169-4853,lisa.rodriguez@example.com
CA_4566,Lisa Thomas,40230269,555-352-1651,lisa.thomas@example.com
CA_4576,Samuel Hernandez,30133707,555-773-9565,samuel.hernandez@example.com
CA_4736,Kenneth King,15707602,555-785-6147,kenneth.king@example.com
CA_4738,Donald King,28560738,555-234-5915,donald.king@example.com
CA_4848,Ryan Green,6868286,555-109-8508,ryan.green@example.com
CA_4857,Samuel Reed,8709628,555-175-9808,samuel.reed@example.com
CA_4890,Helen Cook,19797298,555-235-6718,helen.cook@example.com
CA_4906,William Young,26798543,555-391-3584,william.young@example.com
CA_4925,Jeffrey Cooper,49213765,555-409-9666,jeffrey.cooper@example.com
CA_4990,Mary Peterson,22090967,555-779-2697,mary.peterson@example.com
CA_5107,Sarah King,9746286,555-209-3546,sarah.king@example.com
CA_5154,Paul Torres,42589442,555-315-6617,paul.torres@example.com
CA_5177,Anthony King,35917427,555-600-5114,anthony.king@example.com
CA_5186,Michael Lopez,44566108,555-533-5533,michael.lopez@example.com
CA_5420,Jennifer Smith,24384600,555-889-3143,jennifer.smith@example.com
CA_5455,Alexander King,12843582,555-859-8239,alexander.king@example.com
CA_5534,Stephen Diaz,39641822,555-109-2832,stephen.diaz@example.com
CA_5667,Elizabeth Martin,38613944,555-136-7049,elizabeth.martin@example.com
CA_5688,Justin Peterson,11938405,555-540-3088,justin.peterson@example.com
CA_5872,Jennifer Flores,26471348,555-915-1653,jennifer.flores@example.com
CA_5984,Kimberly Clark,47772720,555-355-2684,kimberly.clark@example.com
CA_6090,Kimberly Bailey,29271524,555-735-3532,kimberly.bailey@example.com
CA_6143,Donald Lee,13881783,555-522-1406,donald.lee@example.com
CA_6204,Daniel Nelson,29629602,555-921-5065,daniel.nelson@example.com
CA_6213,Paul Lee,49061982,555-210-7267,paul.lee@example.com
CA_6301,Robert Stewart,16927274,555-304-8541,robert.stewart@example.com
